Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-07-17 07:49:27
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1721230851	560920000	26749	0	""	2024-07-17	09:40:51	15080.633	442.63132	1967.4285	40.871	55.0003	29.2589	51.1578	0.00292253	10.8356	54.5005	-65.75	0.28126	16.0976	 58
DATA	1721230852	560920000	26753	0	""	2024-07-17	09:40:52	15063.289	441.5282	1966.7928	40.8706	55.0003	29.2576	51.1578	0.00348625	10.8349	54.5005	-103.75	0.28126	16.0972	115
DATA	1721230853	560920000	26757	0	""	2024-07-17	09:40:53	15081.277	437.82315	1966.2319	40.8706	55.0003	29.2576	51.1576	0.00315062	10.8354	54.5005	28.25	0.28126	16.0968	 58
DATA	1721230854	560570001	26761	0	""	2024-07-17	09:40:54	15083.482	441.64557	1967.6447	40.8714	55.0003	29.2564	51.1578	0.00297727	10.8343	54.5005	-107.5	0.28126	16.0972	116
DATA	1721230855	560570001	26765	0	""	2024-07-17	09:40:55	15084.733	442.01569	1967.2473	40.871	55.0003	29.2547	51.1578	0.00292877	10.8353	54.5005	33.5	0.28126	16.0968	229
DATA	1721230856	560570001	26769	0	""	2024-07-17	09:40:56	15088.458	441.27429	1967.4767	40.8706	55.0003	29.2552	51.1578	0.00293911	10.8358	54.5005	48.25	0.28126	16.0972	 92
DATA	1721230857	560570001	26773	0	""	2024-07-17	09:40:57	15091.795	437.91049	1966.2245	40.8706	55.0003	29.2556	51.1578	0.00293185	10.8344	54.5005	-31	0.28126	16.0972	225
DATA	1721230858	560570001	26777	0	""	2024-07-17	09:40:58	15094.635	441.89288	1967.0778	40.871	55.0001	29.2547	51.1578	0.00296711	10.8349	54.5005	48.25	0.28126	16.0964	 49
DATA	1721230859	560570001	26781	0	""	2024-07-17	09:40:59	15095.904	443.65146	1967.6976	40.8702	55.0003	29.2543	51.1578	0.00292057	10.835	54.5005	-47.5	0.28126	16.0964	 25
DATA	1721230860	560570001	26785	0	""	2024-07-17	09:41:00	15105.336	439.69269	1967.8152	40.8702	55.0003	29.2523	51.1578	0.00295948	10.8359	54.5005	83.75	0.28126	16.0964	 79
DATA	1721230861	560570001	26789	0	""	2024-07-17	09:41:01	15104.042	442.17242	1966.9034	40.8702	55.0003	29.2547	51.1578	0.0029656	10.8347	54.5005	146.75	0.28126	16.096	253
DATA	1721230862	560226917	26793	32	""	2024-07-17	09:41:02	15245.822	-458.00128	1906.4373	40.8706	55.0003	29.2601	51.1578	0.0410441	10.8344	54.5005	126.25	0.28126	16.0953	136
DATA	1721230863	560226917	26797	0	""	2024-07-17	09:41:03	15106.536	439.388	1966.7845	40.871	55.0003	29.2609	51.1578	0.00295272	10.8342	54.5005	-153.25	0.28126	16.0953	 25
DATA	1721230864	560226917	26801	0	""	2024-07-17	09:41:04	15104.291	440.05869	1967.5677	40.8706	55.0003	29.2576	51.1576	0.00305875	10.8351	54.5005	-30.75	0.28126	16.0949	119
